ASUS|E5202WH Series|E5202WH|Integrated Desktop|3.7|3.7|15.8|59.8|06/24/2021|
Samsung|NP545XLA|NP545XLA|Notebook|1|-1|3.3|13.5|06/23/2021|
Xplore|XSLATE L10|iX101L2|Slate/Tablet|-1|-1|-1|-1|06/02/2021|
ASUS|CX1700CK Series|CX1700CK|Notebook|0.3|1|4.2|13.4|06/23/2021|
MSI|MS-158K|Bravo 15 B5DD|Notebook|0.9|0.9|11.1|33.9|06/22/2021|
ASUS|Q508U Series|Q508U|Notebook|0.3|3|5.5|18.6|06/22/2021|
dynabook|TECRA A40-J|PMM10*|Notebook|0.7|2.3|5.2|18.5|05/12/2021|
Lenovo|IdeaCentre AIO 5 24ALC6|F0G2|Integrated Desktop|1.2|6|17.5|57.1|05/12/2021|
ASUS|PN63 Series|PN63|Desktop|1.6|1.8|5.4|22.6|05/07/2021|
ASUS|S5500E Series|S5500E|Notebook|0.8|0.8|4.2|15|03/11/2021|
Acer|N16Q9|TravelMate B117-M|Notebook|0.7|2.3|3.6|15|02/25/2021|
Acer|N16Q15|TravelMate B118-R|Notebook|0.7|2.3|3.6|15|02/25/2021|
Acer|N16Q6|ES1-132|Notebook|0.7|2.3|3.6|15|02/25/2021|
MSI|MS-16W2|GF65 Thin 10UE|Notebook|0.5|3.9|7.4|25.3|05/11/2021|
MSI|MS-17M1|GS76 Stealth 11UH|Notebook|1|1|12.6|38.7|05/05/2021|
Lenovo|ThinkPad P15 Gen 2|20YQ|Notebook|2.9|7.7|13.2|51.8|05/11/2021|
Lenovo|Yoga Slim 7 Pro 14ACH5 OD|Yoga Slim 7 Pro 14ACH5 OD|Notebook|0.4|0.4|7.8|22.7|05/06/2021|
DELL|P112F|Vostro 15 3510|Notebook|0.7|0.7|5.8|16.3|05/05/2021|
DELL|P112F|Inspiron 15 3510|Notebook|0.3|1.7|3.2|11.1|05/05/2021|
DELL|W26C|OptiPlex 7490 AIO|Desktop|2.5|2.5|19.6|64.3|03/07/2021|
DELL|W26C|OptiPlex 5490 AIO|Desktop|3|3|18.1|62.4|03/07/2021|
BLUEBIRD|ST 103|ST 103|Slate/Tablet|0.3|0.3|2.4|8|05/10/2021|
Samsung|SM-T730|SM-T730|Slate/Tablet|0.2|0.2|3.4|10.2|05/06/2021|
Lenovo|ThinkPad P17 Gen 2|20YU|Notebook|3.2|8.5|12.8|52.1|05/07/2021|
Lenovo|ThinkPad P15v Gen 2|21A9|Notebook|1.9|1.9|10|30.6|05/06/2021|
ASUS|M3700WU Series|M3700WU|Integrated Desktop|0.8|7.2|17.3|55.2|05/07/2021|
ASUS|CX5400FM Series|CX5400FM|Notebook|0.4|1.5|3|10.8|05/07/2021|
ASUS|CX1400CN Series|CX1400CN|Notebook|0.3|1|3.1|10.5|05/07/2021|
DELL|D29M|OptiPlex 5090 Tower|Desktop|2.2|17|18.2|71.8|02/03/2021|
ASUS|TM420U Series|TM420U|Notebook|0.5|0.5|4.6|14.7|01/05/2021|
ASUS|UM325U Series|UM325U|Notebook|0.6|0.6|5.8|18.5|01/05/2021|
Apple|24-inch iMac|A2439|Integrated Desktop|0.6|1.2|22.1|61.8|04/12/2021|
Apple|24-inch iMac|A2438|Integrated Desktop|0.7|1.6|22|62.2|04/12/2021|
Microsoft|Surface Pro 6|1807|Slate/Tablet|0.4|0.4|5.4|16.2|05/05/2021|
ASUS|K3500P Series|K3500P|Notebook|0.8|0.8|4.4|15.5|05/03/2021|
ASUS|M415U Series|M415U|Notebook|0.4|2.9|4.4|15.9|12/29/2020|
Microsoft|Surface Book 2 15|1793|Two-In-One Notebook|0.9|0.9|7.4|24.3|01/25/2021|
Lenovo|IP Flex 5 Chrome 13ITL6|IP Flex 5 Chrome 13ITL6|Notebook|0.5|1.6|4.2|14.8|04/29/2021|
Lenovo|IdeaPad 5 Chrome 14ITL6|IdeaPad 5 Chrome 14ITL6|Notebook|0.6|1.4|3.7|13.5|04/29/2021|
Lenovo|Lenovo TB-X6C6F|Lenovo TB-X6C6F|Slate/Tablet|0.1|0.1|1.7|5.2|04/29/2021|
ASUS|PN50-E1 Series|PN50-E1|Desktop|0.9|7.5|7.9|31.1|04/29/2021|
ASUS|M3400WU Series|M3400WU|Integrated Desktop|0.9|7.6|17.3|55.9|04/29/2021|
Lenovo|Lenovo YT-K606F|Lenovo YT-K606F|Slate/Tablet|0.3|0.3|2.8|8.9|04/16/2021|
ASUS|B3302FE Series|B3302FE|Notebook|0.6|0.6|4.1|13.9|04/28/2021|
DELL|P91F|Precision 5560|Mobile Workstation|1.2|1.2|9.1|26.1|04/27/2021|
Lenovo|Lenovo V15 G2 ITL|Lenovo V15 G2 ITL|Notebook|0.9|3.7|5.5|20.6|04/27/2021|
ASUS|M3200WU Series|M3200WU|Integrated Desktop|0.5|5.2|14.6|45.1|04/26/2021|
